Asset Serial Number,Make,Model,Name,Fault Code,Fault Code Cid,Fault Code Fmi,Fault Code Eid,Fault Code Spn,Severity,Fault Date,Hours Value,Service Meter Unit,Hours Timestamp,Odometer Value,Service Meter Unit,Odometer Timestamp,Lifetime Energy Generated Value,Service Meter Unit,Lifetime Energy Generated Timestamp,Lifetime Fuel Consumed Value,Service Meter Unit,Lifetime Fuel Consumed Timestamp,Source,Type,Occurrences,Fault Location
7W802865,CAT,777-05,040-009,Positive High Peak Frame Bias,,,777,,1,2024-08-26T02:08:59-06:00,7632.2905502720005,h,2024-08-26T02:08:59-06:00,45228.228073800004,mi,2024-08-26T02:08:59-06:00,,,,101636.55694541521,usGal,2024-08-26T02:34:16-06:00,Communication Gateway #1,Event,66,
KYD02701,CAT,777E,040-001,Auto Lube Pressure Not Decreasing After Cycle,,,521,,2,2024-08-26T01:46:23-06:00,8214.737405118,h,2024-08-26T01:46:23-06:00,135551.462279,mi,2024-08-26T01:46:23-06:00,,,,126815.16509906601,usGal,2024-08-26T03:11:46-06:00,Chassis Control,Event,13,"Itaituba, Brazil 68180"
KYD02701,CAT,777E,040-001,"Operator Seat Belt Switch: Erratic, Intermittent, or Incorrect",3797,2,,,1,2024-08-26T01:41:05-06:00,8214.649071714,h,2024-08-26T01:41:05-06:00,135550.7787709,mi,2024-08-26T01:41:05-06:00,,,,126815.16509906601,usGal,2024-08-26T03:11:46-06:00,Chassis Control,Diagnostic,127,"Itaituba, Brazil 68180"
7W802675,CAT,777-05,040-006,Negative High Peak Frame Bias,,,697,,1,2024-08-26T01:21:44-06:00,6834.80407895,h,2024-08-26T01:21:44-06:00,35612.5739859,mi,2024-08-26T01:21:44-06:00,,,,90861.0641739264,usGal,2024-08-26T03:35:24-06:00,Communication Gateway #1,Event,32,"Itaituba, Brazil 68180"
7W802868,CAT,777-05,040-012,Negative High Peak Frame Bias,,,697,,1,2024-08-26T01:17:40-06:00,6983.1078087040005,h,2024-08-26T01:17:40-06:00,36580.3593184,mi,2024-08-26T01:17:40-06:00,,,,86588.81702684761,usGal,2024-08-26T06:14-06:00,Communication Gateway #1,Event,205,"Itaituba, Brazil 68180"
7W802868,CAT,777-05,040-012,"Operator Seat Belt Switch: Erratic, Intermittent, or Incorrect",3797,2,,,1,2024-08-26T01:12:46-06:00,6983.025308638,h,2024-08-26T01:12:46-06:00,36580.235044199995,mi,2024-08-26T01:12:46-06:00,,,,86588.81702684761,usGal,2024-08-26T06:14-06:00,Chassis Control,Diagnostic,127,"Itaituba, Brazil 68180"
7W802675,CAT,777-05,040-006,Low Auto Lube Pressure,,,334,,2,2024-08-26T00:31:07-06:00,6833.95963383,h,2024-08-26T00:31:07-06:00,35606.919509800005,mi,2024-08-26T00:31:07-06:00,,,,90861.0641739264,usGal,2024-08-26T03:35:24-06:00,Chassis Control,Event,73,"Itaituba, Brazil 68180"
KYD02701,CAT,777E,040-001,"Operator Seat Belt Switch: Erratic, Intermittent, or Incorrect",3797,2,,,1,2024-08-26T00:28:59-06:00,8213.66629315,h,2024-08-26T00:28:59-06:00,135545.37284320002,mi,2024-08-26T00:28:59-06:00,,,,126815.16509906601,usGal,2024-08-26T03:11:46-06:00,Chassis Control,Diagnostic,127,"Itaituba, Brazil 68180"
HLW00825,CAT,352,021-007,Main Hydraulic Pump #2 Solenoid: Not Responding Properly,2856,7,,,1,2024-08-26T00:16:17-06:00,6840.633805836001,h,2024-08-26T00:16:17-06:00,3.0447179,mi,2024-08-26T00:16:17-06:00,,,,62438.70818859921,usGal,2024-08-26T02:32:26-06:00,Machine Control,Diagnostic,3,
HLW00825,CAT,352,021-007,Main Hydraulic Pump #1 Solenoid: Not Responding Properly,2855,7,,,1,2024-08-26T00:16:16-06:00,6840.633805836001,h,2024-08-26T00:16:16-06:00,3.0447179,mi,2024-08-26T00:16:16-06:00,,,,62438.70818859921,usGal,2024-08-26T02:32:26-06:00,Machine Control,Diagnostic,3,
